"","Tumor_Sample_Barcode","total","total_perMB","total_perMB_log"
"273","TCGA-BR-4369-01A-01D-1158-08",153,3.06,0.48572142648158
"274","TCGA-BR-6456-01A-11D-1800-08",153,3.06,0.48572142648158
"275","TCGA-BR-8366-01A-11D-2340-08",153,3.06,0.48572142648158
"276","TCGA-CD-5813-01A-11D-1600-08",155,3.1,0.491361693834273
"277","TCGA-CG-4436-01A-01D-1158-08",155,3.1,0.491361693834273
"278","TCGA-D7-8572-01A-11D-2340-08",155,3.1,0.491361693834273
"279","TCGA-BR-8687-01A-11D-2394-08",156,3.12,0.494154594018443
"280","TCGA-BR-A4CQ-01A-12D-A25D-08",156,3.12,0.494154594018443
"281","TCGA-BR-7901-01A-11D-2201-08",157,3.14,0.496929648073215
"282","TCGA-HU-A4HD-01A-11D-A25D-08",157,3.14,0.496929648073215
"283","TCGA-BR-6453-01A-11D-1800-08",158,3.16,0.499687082618404
"284","TCGA-CD-A487-01A-21D-A24D-08",159,3.18,0.502427119984433
"285","TCGA-HU-A4H0-01A-11D-A25D-08",159,3.18,0.502427119984433
"286","TCGA-BR-8080-01A-11D-2340-08",162,3.24,0.510545010206612
"287","TCGA-EQ-8122-01A-11D-2340-08",162,3.24,0.510545010206612
"288","TCGA-HU-8608-01A-11D-2394-08",163,3.26,0.513217600067939
"289","TCGA-3M-AB46-01A-11D-A410-08",167,3.34,0.523746466811564
"290","TCGA-CG-4466-01A-01D-1158-08",175,3.5,0.544068044350276
"291","TCGA-VQ-A8DT-01A-11D-A364-08",178,3.56,0.551449997972875
"292","TCGA-VQ-A8PH-01A-12D-A410-08",180,3.6,0.556302500767287
"293","TCGA-BR-8060-01A-11D-2340-08",181,3.62,0.558708570533166
"294","TCGA-D7-6526-01A-11D-1800-08",185,3.7,0.568201724066995
"295","TCGA-BR-A4PE-01A-31D-A25D-08",186,3.72,0.570542939881898
"296","TCGA-KB-A93H-01A-11D-A397-08",187,3.74,0.57287160220048
"297","TCGA-BR-8369-01A-11D-2340-08",189,3.78,0.577491799837225
"298","TCGA-CD-A48C-01A-11D-A24D-08",189,3.78,0.577491799837225
"299","TCGA-HU-A4G3-01A-11D-A24D-08",190,3.8,0.57978359661681
"300","TCGA-BR-8289-01A-11D-2340-08",191,3.82,0.582063362911709
"301","TCGA-VQ-A91X-01A-12D-A410-08",191,3.82,0.582063362911709
"302","TCGA-D7-5578-01A-01D-1600-08",192,3.84,0.584331224367531
"303","TCGA-BR-4191-01A-02D-1126-08",193,3.86,0.586587304671755
"304","TCGA-IP-7968-01A-11D-2201-08",194,3.88,0.588831725594207
"305","TCGA-VQ-A8P5-01A-11D-A397-08",194,3.88,0.588831725594207
"306","TCGA-D7-6527-01A-11D-1800-08",196,3.92,0.593286067020457
"307","TCGA-IN-7808-01A-11D-2201-08",199,3.98,0.599883072073688
"308","TCGA-BR-8297-01A-12D-2340-08",201,4.02,0.60422605308447
"309","TCGA-IN-AB1X-01A-11D-A397-08",203,4.06,0.608526033577194
"310","TCGA-CD-A48A-01A-12D-A24D-08",207,4.14,0.617000341120899
"311","TCGA-RD-A7BT-01A-11D-A33T-08",207,4.14,0.617000341120899
"312","TCGA-CD-8527-01A-11D-2340-08",208,4.16,0.619093330626743
"313","TCGA-VQ-A91V-01A-11D-A410-08",211,4.22,0.625312450961674
"314","TCGA-BR-6457-01A-21D-1800-08",214,4.28,0.631443769013172
"315","TCGA-D7-A4YU-01A-21D-A25D-08",219,4.38,0.6414741105041
"316","TCGA-BR-4357-01A-01D-1158-08",222,4.44,0.64738297011462
"317","TCGA-B7-A5TJ-01A-11D-A31L-08",227,4.54,0.657055852857104
"318","TCGA-VQ-AA64-01A-11D-A410-08",228,4.56,0.658964842664435
"319","TCGA-CD-8531-01A-11D-2340-08",229,4.58,0.660865478003869
"320","TCGA-VQ-A91S-01A-11D-A410-08",230,4.6,0.662757831681574
"321","TCGA-D7-6822-01A-11D-1882-08",231,4.62,0.664641975556125
"322","TCGA-HU-A4GC-01A-12D-A25D-08",232,4.64,0.666517980554881
"323","TCGA-CD-8535-01A-11D-2340-08",234,4.68,0.670245853074124
"324","TCGA-BR-7717-01A-11D-2053-08",237,4.74,0.675778341674085
"325","TCGA-BR-7715-01A-11D-2053-08",238,4.76,0.677606952720493
"326","TCGA-D7-A4YT-01A-11D-A25D-08",245,4.9,0.690196080028514
"327","TCGA-D7-A6EZ-01A-11D-A31L-08",247,4.94,0.693726948923647
"328","TCGA-HU-A4H5-01A-21D-A25D-08",247,4.94,0.693726948923647
"329","TCGA-RD-A7C1-01A-11D-A32N-08",252,5.04,0.702430536445525
"330","TCGA-HF-7134-01A-11D-2053-08",255,5.1,0.707570176097936
"331","TCGA-VQ-A94R-01A-11D-A410-08",257,5.14,0.710963118995276
"332","TCGA-VQ-A8P3-01A-11D-A364-08",261,5.22,0.717670503002262
"333","TCGA-IN-A6RO-01A-12D-A33T-08",265,5.3,0.724275869600789
"334","TCGA-BR-8485-01A-11D-2394-08",274,5.48,0.738780558484369
"335","TCGA-D7-A4Z0-01A-22D-A25D-08",275,5.5,0.740362689494244
"336","TCGA-IN-8663-01A-11D-2394-08",278,5.56,0.745074791582057
"337","TCGA-CG-4469-01A-01D-1158-08",279,5.58,0.746634198937579
"338","TCGA-BR-7716-01A-21D-2053-08",285,5.7,0.755874855672491
"339","TCGA-BR-8284-01A-11D-2340-08",291,5.82,0.764922984649889
"340","TCGA-D7-6528-01A-11D-1800-08",302,6.04,0.781036938621132
